"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.23"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.22"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.48"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.51"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.51"
"LightEdge - Dallas","Denton","LightEdge","138","ONCOR ELECTRIC DELIVERY CO.","9.44"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","9.02"
"CyrusOne DFW2 - Lewsiville","Denton","DFW2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","8.83"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.59"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.58"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.84"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.87"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.87"
"LightEdge - Dallas","Denton","LightEdge","138","ONCOR ELECTRIC DELIVERY CO.","8.66"
"CyrusOne DFW1 - Carrollton","Denton","DFW1 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","6.04"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.98"
"CyrusOne DFW2 - Lewsiville","Denton","DFW2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","5.85"
"Centersquare - Dallas DFW3-A","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","9.42"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.49"
"Centersquare - Dallas DFW1","Tarrant","Centersquare","138","ONCOR ELECTRIC DELIVERY CO.","9.60"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.48"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.76"
"PowerHouse Irving - Building A","Dallas","PowerHouse Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.54"
