,period,plantid,plantName,balancing-authority-name,entityid,entityName,county,geometry,Solar Region,Wind Region,nameplate-capacity-mw,net-summer-capacity-mw,net-winter-capacity-mw,Coal_gen_total,Distillate Fuel Oil_gen_total,Hydroelectric Conventional_gen_total,Municiapl Landfill Gas_gen_total,Natural Gas_gen_total,Nuclear_gen_total,Other_gen_total,Other Gases_gen_total,Petroleum Coke_gen_total,Residual Fuel Oil_gen_total,Solar_gen_total,Waste Oil and Other Oils_gen_total,Wind_gen_total,Wood Waste Solids_gen_total,other renewables_gen_total,total_generation,Coal_gen_pct,Distillate Fuel Oil_gen_pct,Hydroelectric Conventional_gen_pct,Municiapl Landfill Gas_gen_pct,Natural Gas_gen_pct,Nuclear_gen_pct,Other_gen_pct,Other Gases_gen_pct,Petroleum Coke_gen_pct,Residual Fuel Oil_gen_pct,Solar_gen_pct,Waste Oil and Other Oils_gen_pct,Wind_gen_pct,Wood Waste Solids_gen_pct,other renewables_gen_pct
36,2022-07,3494,Permian Basin,"Electric Reliability Council of Texas, Inc.",55983,Luminant Generation Company LLC,Ward,POINT (-102.9633 31.5839),FarWest,West,16539.0,11840.0,14319.0,0.0,134.4,0.0,0.0,30359.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30493.66,0.0,0.4407473553518994,0.0,0.0,99.5592526446481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2022-07,3504,Stryker Creek,"Electric Reliability Council of Texas, Inc.",55983,Luminant Generation Company LLC,Cherokee,POINT (-94.989834 31.93985),FarEast,North,26395.8,25123.0,25123.0,0.0,3.14,0.0,0.0,182774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182777.14,0.0,0.0017179391252100781,0.0,0.0,99.99828206087477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2022-07,3507,Trinidad (TX),"Electric Reliability Council of Texas, Inc.",55983,Luminant Generation Company LLC,Henderson,POINT (-96.101277 32.124519),FarEast,North,9002.1,8843.0,8843.0,0.0,0.44,0.0,0.0,45414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45414.44,0.0,0.000968854840002431,0.0,0.0,99.99903114515999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2022-07,3548,Decker Creek,"Electric Reliability Council of Texas, Inc.",1015,Austin Energy,Travis,POINT (-97.6128 30.3033),CenterEast,South,7622.0,7696.0,8880.0,0.0,0.0,0.0,0.0,9250.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9250.26,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2022-07,3559,Silas Ray,"Electric Reliability Council of Texas, Inc.",2409,Brownsville Public Utilities Board,Cameron,POINT (-97.5214 25.9131),SouthEast,Coastal,5272.5,4144.0,4625.0,0.0,0.0,0.0,0.0,15843.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15843.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2022-07,3561,Bryan (TX),"Electric Reliability Council of Texas, Inc.",2442,City of Bryan - (TX),Brazos,POINT (-96.372316 30.64741),FarEast,North,814.0,777.0,777.0,0.0,0.0,0.0,0.0,417.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.46,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2022-07,3576,Ray Olinger,"Electric Reliability Council of Texas, Inc.",6958,City of Garland - (TX),Collin,POINT (-96.452481 33.068055),CenterEast,North,15824.9,14615.0,14837.0,0.0,0.0,0.0,0.0,30838.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30838.42,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2022-07,3581,Abbott TP 3,"Electric Reliability Council of Texas, Inc.",7751,Guadalupe Blanco River Authority,Guadalupe,POINT (-98.040734 29.593951),SouthEast,South,103.6,103.6,103.6,0.0,0.0,830.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.78,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-07,3583,H 4,"Electric Reliability Council of Texas, Inc.",7751,Guadalupe Blanco River Authority,Gonzales,POINT (-97.624948 29.495193),SouthEast,South,88.8,88.8,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
45,2022-07,3585,Nolte,"Electric Reliability Council of Texas, Inc.",7751,Guadalupe Blanco River Authority,Guadalupe,POINT (-97.932106 29.537565),SouthEast,South,88.8,88.8,88.8,0.0,0.0,335.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.24,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2022-07,3586,TP 4,"Electric Reliability Council of Texas, Inc.",7751,Guadalupe Blanco River Authority,Guadalupe,POINT (-97.999587 29.548136),SouthEast,South,88.8,88.8,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
47,2022-07,3594,Austin,"Electric Reliability Council of Texas, Inc.",11269,Lower Colorado River Authority,Travis,POINT (-97.784408 30.293424),CenterEast,South,666.0,629.0,629.0,0.0,0.0,1894.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.96,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2022-07,3595,Buchanan Dam (TX),"Electric Reliability Council of Texas, Inc.",11269,Lower Colorado River Authority,Llano,POINT (-98.4176 30.7507),CenterEast,South,2031.3,2031.3,2031.3,0.0,0.0,3399.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.44,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2022-07,3597,Granite Shoals,"Electric Reliability Council of Texas, Inc.",11269,Lower Colorado River Authority,Burnet,POINT (-98.3384 30.556),CenterEast,South,1998.0,1998.0,1998.0,0.0,0.0,2446.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2446.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2022-07,3598,Inks,"Electric Reliability Council of Texas, Inc.",11269,Lower Colorado River Authority,Burnet,POINT (-98.385422 30.731599),CenterEast,South,555.0,510.6,510.6,0.0,0.0,1722.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.26,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2022-07,3599,Marble Falls,"Electric Reliability Council of Texas, Inc.",11269,Lower Colorado River Authority,Burnet,POINT (-98.257593 30.555288),CenterEast,South,1465.2,1465.2,1465.2,0.0,0.0,1448.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2022-07,3600,Marshall Ford,"Electric Reliability Council of Texas, Inc.",11269,Lower Colorado River Authority,Travis,POINT (-97.9073 30.3899),CenterEast,South,3996.0,3996.0,3996.0,0.0,0.0,7208.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7208.82,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2022-07,3601,Sim Gideon,"Electric Reliability Council of Texas, Inc.",11269,Lower Colorado River Authority,Bastrop,POINT (-97.2708 30.1456),FarEast,South,23051.0,22459.0,22940.0,0.0,0.0,0.0,0.0,328154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328154.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
